"ID","pop","unemp","wealth","ym","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Winter 2010","Spring 2010","Summer 2010","Fall 2010","Winter 2011","Spring 2011","Summer 2011","Fall 2011","Winter 2012","Spring 2012","Summer 2012","Fall 2012","Winter 2013","Spring 2013","Summer 2013","Fall 2013","Winter 2014","Spring 2014","Summer 2014","Fall 2014","Winter 2015","Spring 2015","Summer 2015","Fall 2015","Total Winter","Total Spring","Total Summer","Total Fall","Total Crime"
446,1137,0.0513392857142857,0.0146511384999057,19,1,2,1,1,4,1,2,0,4,0,0,0,0,0,1,1,0,1,2,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,2,0,2,1,0,0,2,0,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,2,2,0,0,0,1,1,2,0,0,0,0,3,6,3,4,0,2,3,3,0,2,1,2,3,2,2,0,3,1,1,1,5,0,4,0,14,13,14,10,51
447,1913,0.157079646017699,1.82355525378767,104,0,2,2,1,3,2,2,1,3,2,2,2,0,0,0,1,1,2,2,1,2,0,2,5,0,0,1,4,0,3,5,0,4,1,1,0,2,0,0,3,0,0,1,1,1,0,2,0,0,0,1,0,1,1,0,1,0,1,0,2,1,0,0,0,0,1,1,1,0,1,0,0,2,6,5,7,2,2,5,4,5,5,8,6,2,3,2,3,0,2,2,1,3,0,3,1,14,18,25,22,79
448,1107,0.0414572864321608,0.69418654688843,34,1,0,1,2,1,3,3,2,1,5,5,1,2,1,7,2,2,1,1,1,1,2,1,1,1,3,1,1,1,0,1,2,1,1,2,3,2,3,3,0,0,0,0,0,0,1,1,2,1,0,1,1,0,2,2,0,0,1,1,0,0,0,1,1,0,1,0,1,1,4,2,0,1,4,8,11,4,11,3,4,5,3,3,4,8,3,0,2,3,2,4,2,0,2,2,7,21,25,20,30,96
449,741,0.0300157977883096,0.148644035928629,17,0,2,1,1,1,1,0,1,2,1,0,0,0,3,0,2,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,2,1,1,1,0,1,0,0,1,1,1,1,2,1,4,0,1,2,1,1,0,2,0,0,2,0,1,0,2,1,0,0,0,0,0,1,1,0,0,2,3,2,3,3,2,2,2,1,1,1,4,2,1,3,4,5,4,2,2,3,1,0,2,16,12,10,17,55
450,1033,0.193370165745856,0.368775224561531,181,1,1,0,3,4,1,1,3,2,0,1,0,4,1,0,0,1,1,1,6,0,3,0,1,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,1,1,0,0,3,0,0,3,2,2,1,1,2,1,1,0,0,2,0,0,1,1,0,1,0,0,0,1,3,0,0,0,3,2,7,5,3,5,1,8,3,3,2,0,3,1,2,3,3,5,4,1,2,2,1,4,0,18,17,21,14,70
451,1534,0.222967309304275,1.18230353037878,149,4,3,0,1,3,2,4,6,1,4,4,1,1,0,4,2,1,0,2,3,1,2,5,3,2,0,0,1,0,0,1,1,1,2,1,0,1,2,0,0,1,0,1,2,2,1,1,1,1,1,0,0,0,0,1,2,3,0,1,0,1,0,2,0,1,1,0,5,3,3,1,1,7,4,12,9,2,7,5,8,5,1,2,4,3,1,3,4,3,0,3,4,1,3,6,7,21,16,31,36,104
452,907,0.0594405594405594,-0.349043868806628,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,3,1,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,2,0,5,4,2,2,0,1,0,0,1,2,0,3,0,0,2,0,1,2,0,8,9,9,6,32
453,1126,0.051440329218107,0.608048255684251,121,1,5,1,4,1,1,1,5,0,0,0,4,0,1,0,2,1,0,1,2,0,1,1,3,1,0,0,0,1,1,2,0,1,2,0,1,0,0,1,1,0,2,1,0,2,1,3,0,0,0,0,1,1,1,5,1,1,2,0,0,0,0,1,0,0,0,1,0,6,1,1,1,6,6,7,0,5,3,3,2,4,1,3,3,1,2,3,6,0,2,7,3,0,1,1,8,16,15,24,22,77
454,649,0.170283806343907,-0.483036766235351,55,2,1,0,2,1,0,2,2,0,0,1,1,5,1,0,2,1,0,0,2,1,3,1,2,1,0,1,0,1,1,3,0,2,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,2,0,0,3,3,4,1,7,3,2,5,3,2,4,8,0,0,0,3,0,1,0,0,2,2,3,2,15,11,13,19,58
455,1311,0.0738377392889699,0.923888656766241,52,0,0,2,1,1,1,2,1,1,1,3,1,0,2,2,0,2,1,2,0,2,3,0,4,0,0,1,1,0,3,0,2,1,3,0,1,0,1,0,0,0,0,2,2,1,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,0,0,4,4,5,3,4,3,5,4,2,5,4,2,0,4,2,2,2,1,0,1,1,4,2,12,13,21,18,64
456,770,0.0947030497592295,-0.454324002500625,16,4,1,1,3,2,0,3,0,0,1,0,0,1,1,2,2,2,1,2,2,1,0,3,0,1,0,1,1,0,1,0,0,0,3,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,6,3,1,2,6,5,4,1,2,1,3,4,0,0,2,1,1,0,0,1,0,1,0,14,15,10,10,49
457,809,0.132290184921764,-0.521320451214987,54,0,3,1,2,1,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,1,3,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,4,1,2,1,1,1,5,2,3,1,1,0,0,1,0,0,1,2,2,0,1,1,1,6,10,7,11,34
458,976,0.0869033047735618,-0.301189262582084,70,0,0,0,4,3,2,1,0,1,1,4,3,1,0,0,0,0,1,1,1,0,1,2,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,7,3,6,4,0,3,3,2,3,1,0,1,2,0,4,1,2,1,1,1,1,0,2,9,15,8,16,48
459,706,0.114285714285714,-0.875444537276612,0,0,1,1,1,2,0,0,0,2,1,1,1,1,0,1,2,2,0,1,1,1,0,1,1,2,0,0,2,1,1,1,0,0,0,0,2,0,0,0,1,0,1,1,1,2,0,0,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,2,1,4,0,4,2,5,2,2,3,3,2,0,2,1,3,2,6,3,0,2,0,2,1,1,14,18,8,11,51
460,1099,0.00992282249173098,-0.0810580739491822,29,0,2,0,5,3,4,2,1,2,3,2,2,1,0,1,1,1,1,2,1,2,3,1,2,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,2,0,2,2,8,7,7,3,3,4,6,6,4,0,0,1,0,2,4,2,1,1,0,2,2,2,2,16,18,16,19,69
461,1632,0.0316742081447964,0.866463129296788,112,2,0,4,2,3,1,3,2,3,0,2,1,2,1,0,2,2,4,2,1,5,2,1,1,2,2,1,0,5,0,2,2,2,2,2,0,1,0,4,1,0,0,0,0,2,1,2,1,1,1,2,0,1,2,0,4,0,0,1,0,0,1,2,1,3,1,1,3,1,2,1,0,2,9,6,5,4,4,7,8,5,6,4,6,1,5,0,5,3,3,6,1,1,6,5,4,16,33,28,29,106
462,699,0.0969387755102041,-0.454324002500625,8,2,0,0,2,2,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,1,3,2,0,1,2,2,4,1,2,2,1,0,0,3,0,0,1,1,2,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,4,3,3,0,1,0,5,3,8,5,1,3,4,4,1,1,1,0,0,1,0,0,1,10,18,12,11,51
463,1206,0.0810810810810811,-0.435182160010808,8,1,1,1,2,1,2,1,2,2,2,5,1,0,0,1,2,1,3,2,3,6,5,8,4,2,0,2,2,2,4,1,2,0,2,2,0,0,1,0,0,0,3,3,1,0,0,0,1,1,0,0,1,0,1,0,1,4,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,2,4,5,9,1,4,8,19,6,6,7,4,1,0,7,0,2,1,2,4,0,3,2,0,12,18,31,36,97
464,1566,0.108399138549892,1.60342406515477,8,0,0,0,1,1,3,3,0,1,3,3,3,2,0,3,3,4,3,1,4,3,4,2,3,0,0,3,0,2,2,0,1,1,2,1,0,0,1,0,0,2,0,3,1,0,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,3,1,2,1,0,2,6,7,5,10,8,9,3,5,3,4,1,2,4,4,3,0,0,2,0,5,0,6,12,24,21,32,89
465,1087,0.208480565371025,0.263495090867534,12,0,0,1,2,0,3,0,1,0,0,3,0,0,1,2,1,2,5,1,2,1,6,3,3,0,0,3,0,0,1,1,1,0,1,0,0,0,0,0,1,0,3,1,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,3,1,0,3,4,3,1,5,8,10,3,3,3,1,0,1,4,1,2,2,2,1,0,1,0,7,6,15,21,23,65
466,873,0.112852664576803,-0.502178608725169,76,2,2,2,3,1,0,3,4,2,2,1,1,2,1,2,1,0,1,3,4,1,4,0,1,1,0,4,4,5,4,2,4,0,4,3,2,1,0,0,0,0,8,0,2,5,1,3,0,1,1,1,3,1,2,0,2,0,1,0,4,0,1,1,0,4,1,0,0,0,1,1,2,4,6,7,5,4,3,8,5,2,13,10,7,3,0,10,9,2,5,4,1,5,5,1,2,20,32,40,29,121
467,1022,0.114699331848552,0.818608523072244,45,0,1,1,0,2,1,1,1,1,2,1,2,0,1,2,0,1,0,3,0,0,1,4,1,3,0,0,1,0,1,0,1,1,2,0,1,1,2,0,1,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,2,1,0,0,1,1,0,2,1,0,0,0,1,1,0,1,3,3,4,3,3,3,5,4,1,2,3,4,1,2,1,2,1,0,5,1,3,1,2,15,12,11,20,58
468,791,0.0254110612855007,-0.0714871527042734,51,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,3,1,3,0,1,2,1,2,0,0,2,3,0,2,4,1,0,0,1,10,4,7,11,32
469,1025,0.277852348993289,-0.387327553786264,64,3,1,0,0,2,2,2,2,2,2,2,1,0,1,2,1,1,0,1,1,5,3,2,2,0,0,1,2,1,3,0,3,2,2,3,2,1,1,2,0,1,3,5,2,0,0,2,0,0,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,6,6,2,4,2,10,2,4,6,7,4,3,10,2,0,2,2,4,0,0,0,2,12,15,26,31,84
